country,pppInt,pppUsd,pop2023
Afghanistan,18.46,18.46,42239854
Albania,42.79,42.513,2832439
Algeria,41.1,41.1,45606480
Angola,204.06,204.06,36684202
Antigua and Barbuda,2.03,2.03,94298
Argentina,42.72,43.135,45773884
Armenia,160.46,160.46,2777970
Aruba,1.23,1.23,106277
Australia,1.44,1.448,26439111
Austria,0.77,0.756,8958960
Azerbaijan,0.58,0.58,10412651
Bahamas,0.83,0.83,412623
Bahrain,0.18,0.18,1485509
Bangladesh,32.1,32.1,172954319
Barbados,2.28,2.28,281995
Belarus,0.85,0.85,9498238
Belgium,0.74,0.737,11686140
Belize,1.29,1.29,410825
Benin,200.47,200.47,13712828
Bermuda,1.29,1.29,64069
Bhutan,20.15,20.15,787424
Bolivia,2.61,2.61,12388571
Bosnia and Herzegovina,0.68,0.68,3210847
Botswana,4.63,4.63,2675352
Brazil,2.53,2.526,216422446
British Virgin Islands,1.07,1.07,31538
Brunei,0.64,0.64,452524
Bulgaria,0.72,0.719,6687717
Burkina Faso,206.81,206.81,23251485
Burundi,680.23,680.23,13238559
Cambodia,1392.46,1392.46,16944826
Cameroon,227.38,226.712,28647293
Canada,1.25,1.236,38781291
Cape Verde,45.7,45.7,598682
Cayman Islands,0.97,0.97,69310
Central African Republic,277.93,277.93,5742315
Chad,242.8,242.8,18278568
Chile,430.35,435.093,19629590
China,4.19,4.187,1425671352
Colombia,1358.65,1351.849,52085168
Comoros,185,185,852075
Costa Rica,357.44,342.386,5212173
Croatia,3.28,0.432,4008617
Cuba,0.32,0.32,11194449
Curacao,1.39,1.39,192077
Cyprus,0.6,0.601,1260138
Czech Republic,12.92,12.746,10495295
Denmark,6.59,6.591,5910913
Djibouti,103.73,103.73,1136455
Dominica,1.73,1.73,73040
Dominican Republic,23.7,23.7,11332972
DR Congo,973.54,973.54,102262808
Ecuador,0.51,0.51,18190484
Egypt,4.57,4.57,112716598
El Salvador,0.46,0.46,6364943
Equatorial Guinea,258.87,258.87,1714671
Eritrea,5.47,5.47,3748901
Estonia,0.55,0.544,1322765
Eswatini,6.04,6.04,1210822
Ethiopia,14.17,14.17,126527060
Fiji,0.85,0.85,936375
Finland,0.83,0.827,5545475
France,0.73,0.719,64756584
Gabon,315.54,315.54,2436566
Gambia,17.43,17.43,2773168
Georgia,0.95,0.956,3728282
Germany,0.74,0.736,83294633
Ghana,2.34,2.34,34121985
Greece,0.55,0.546,10341277
Grenada,1.62,1.62,126183
Guatemala,3.96,3.96,18092026
Guinea,4002.51,4002.51,14190612
Guinea-Bissau,219.15,219.15,2150842
Guyana,86.55,86.55,813834
Haiti,47.08,47.08,11724763
Honduras,10.87,10.87,10593798
Hong Kong,5.87,5.851,7491609
Hungary,154.84,154.787,10156239
Iceland,150.64,149.718,375318
India,23.22,23.138,1428627663
Indonesia,4758.7,4758.701,277534122
Iran,46072.46,46072.46,89172767
Iraq,703.26,703.26,45504560
Ireland,0.79,0.795,5056935
Israel,3.8,3.823,9174520
Italy,0.65,0.648,58870762
Ivory Coast,241.63,241.63,28873034
Jamaica,74.14,74.14,2825544
Japan,100.41,102.319,123294513
Jordan,0.29,0.29,11337052
Kazakhstan,154.03,154.03,19606633
Kenya,43.8,43.8,55100586
Kiribati,1,1,133515
Kuwait,0.16,0.16,4310108
Kyrgyzstan,20.43,20.43,6735347
Laos,2852.48,2852.48,7633779
Latvia,0.51,0.509,1830211
Lebanon,3410.36,3410.36,5353930
Lesotho,6.41,6.41,2330318
Liberia,0.43,0.43,5418377
Libya,1.19,1.19,6888388
Lithuania,0.46,0.458,2718352
Luxembourg,0.85,0.859,654768
Macau,4.93,4.93,704149
Madagascar,1192.18,1205.856,30325732
Malawi,312.31,312.31,20931751
Malaysia,1.59,1.59,34308525
Maldives,7.73,7.73,521021
Mali,207.99,207.99,23293698
Malta,0.58,0.579,535064
Marshall Islands,0.94,0.94,41996
Mauritania,13.4,13.4,4862989
Mauritius,16.48,16.48,1300557
Mexico,10.04,10.04,128455567
Micronesia,0.98,0.98,115224
Moldova,6.01,6.01,3435931
Mongolia,1014.93,1014.93,3447157
Morocco,3.85,3.86,37840044
Mozambique,23.89,23.89,33897354
Myanmar,407.06,407.06,54577997
Namibia,7.16,7.16,2604172
Nauru,1.09,1.09,12780
Nepal,33.83,33.83,30896590
Netherlands,0.77,0.77,17618299
New Zealand,1.49,1.468,5228100
Nicaragua,11.61,11.61,7046310
Niger,251.25,251.25,27202843
Nigeria,152.57,152.57,223804632
North Macedonia,19.14,19.022,2085679
Norway,9.67,9.515,5474360
Oman,0.2,0.2,4644384
Pakistan,41.95,41.95,240485658
Palau,0.8,0.8,18058
Panama,0.46,0.46,4468087
Papua New Guinea,2.32,2.32,10329931
Paraguay,2654.08,2654.08,6861524
Peru,1.87,1.87,34352719
Philippines,19.17,19.17,117337368
Poland,1.84,1.823,41026067
Portugal,0.57,0.568,10247605
Puerto Rico,0.91,0.91,3260314
Qatar,2.38,2.38,2716391
Republic of the Congo,357.44,357.44,6106869
Romania,1.72,1.712,19892812
Russia,27.33,27.246,144444359
Rwanda,330.52,330.52,14094683
Saint Kitts and Nevis,1.68,1.68,47755
Saint Lucia,1.77,1.77,180251
Saint Vincent and the Grenadines,1.56,1.56,103698
Samoa,1.63,1.63,225681
San Marino,0.67,0.67,33642
Sao Tome and Principe,11.06,11.06,231856
Saudi Arabia,1.78,1.785,36947025
Senegal,236.38,236.38,17763163
Serbia,42.67,42.392,7149077
Seychelles,7.85,7.85,107660
Sierra Leone,2969.7,2969.7,8791092
Singapore,0.84,0.84,6014723
Sint Maarten,1.44,1.44,44222
Slovakia,0.54,0.534,5795199
Slovenia,0.57,0.563,2119675
Solomon Islands,6.99,6.99,740424
Somalia,9320.02,9320.02,18143378
South Africa,7.13,7.168,60414495
South Korea,847.46,847.46,51784059
South Sudan,3.27,3.27,11088796
Spain,0.62,0.626,47519628
Sri Lanka,54.28,54.28,21893579
Sudan,72.11,72.11,48109006
Suriname,5.91,5.91,623236
Sweden,8.71,8.724,10612086
Switzerland,1.1,1.107,8796669
Tajikistan,2.37,2.37,10143543
Tanzania,890.58,890.58,67438106
Thailand,12.04,12.04,71801279
Timor-Leste,0.5,0.5,1360596
Togo,231.19,231.19,9053799
Tonga,1.49,1.49,107773
Trinidad and Tobago,4.28,4.28,1534937
Tunisia,0.95,0.95,12458223
Turkey,2.78,2.809,85816199
Turkmenistan,1.65,1.65,6516100
Turks and Caicos Islands,1.03,1.03,46062
Tuvalu,1.39,1.39,11396
Uganda,1310.6,1310.6,48582334
Ukraine,9.28,9.28,36744634
United Arab Emirates,2.12,2.12,9516871
United Kingdom,0.69,0.677,67736802
United States,1,1,339996563
Uruguay,30.1,30.1,3423108
Uzbekistan,2475.95,2475.95,35163944
Vanuatu,107.28,107.28,334506
Venezuela,2.68,2.68,28838499
Vietnam,7451.07,7451.07,98858950
Yemen,93.63,93.63,34449825
Zambia,6.4,6.19,20569737
Zimbabwe,85.83,85.83,16665409
